ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 15-29,Educational attendance: Total,2017,46.624,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 15-29,Educational attendance: Attending,2017,75.795,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 15-29,Educational attendance: Not attending,2017,29.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 15-29,Educational attendance: Not elsewhere classified,2017,36.781,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 15-19,Educational attendance: Total,2017,74.767,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 15-19,Educational attendance: Attending,2017,86.96,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 15-19,Educational attendance: Not attending,2017,51.514,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 15-19,Educational attendance: Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 20-24,Educational attendance: Total,2017,40.329,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 20-24,Educational attendance: Attending,2017,64.397,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 20-24,Educational attendance: Not attending,2017,28.906,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 20-24,Educational attendance: Not elsewhere classified,2017,44.312,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 25-29,Educational attendance: Total,2017,23.406,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 25-29,Educational attendance: Attending,2017,44.269,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 25-29,Educational attendance: Not attending,2017,20.384,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Total,Age (Youth bands): 25-29,Educational attendance: Not elsewhere classified,2017,23.111,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Male,Age (Youth bands): 15-29,Educational attendance: Total,2017,34.577,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Male,Age (Youth bands): 15-29,Educational attendance: Attending,2017,72.856,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Male,Age (Youth bands): 15-29,Educational attendance: Not attending,2017,13.615,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Male,Age (Youth bands): 15-29,Educational attendance: Not elsewhere classified,2017,27.545,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Male,Age (Youth bands): 15-19,Educational attendance: Total,2017,67.392,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth inactivity rate by sex, age and school attendance status (%)",Sex: Male,Age (Youth bands): 15-19,Educational attendance: Attending,2017,85.476,,,,Repository: ILO-STATISTICS - Micro data processing
