ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 15-29,Educational attendance: Total,2017,4263.983,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 15-29,Educational attendance: Attending,2017,719.498,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 15-29,Educational attendance: Not attending,2017,3533.134,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 15-29,Educational attendance: Not elsewhere classified,2017,11.351,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 15-19,Educational attendance: Total,2017,690.734,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 15-19,Educational attendance: Attending,2017,233.919,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 15-19,Educational attendance: Not attending,2017,456.539,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 15-19,Educational attendance: Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 20-24,Educational attendance: Total,2017,1582.518,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 20-24,Educational attendance: Attending,2017,302.968,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 20-24,Educational attendance: Not attending,2017,1276.197,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 20-24,Educational attendance: Not elsewhere classified,2017,3.353,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 25-29,Educational attendance: Total,2017,1990.731,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 25-29,Educational attendance: Attending,2017,182.611,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 25-29,Educational attendance: Not attending,2017,1800.398,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Total,Age (Youth bands): 25-29,Educational attendance: Not elsewhere classified,2017,7.722,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth labour force by sex, age and school attendance status (thousands)",Sex: Male,Age (Youth bands): 15-29,Educational attendance: Total,2017,2666.43,,,,Repository: ILO-STATISTICS - Micro data processing
