ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Total,Marital status (Aggregate): Total,,2017,1231.334,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Total,Marital status (Aggregate): Single / Widowed / Divorced,,2017,859.7,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Total,Marital status (Aggregate): Married / Union / Cohabiting,,2017,370.728,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Total,Marital status (Aggregate): Not elsewhere classified,,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Male,Marital status (Aggregate): Total,,2017,416.965,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Male,Marital status (Aggregate): Single / Widowed / Divorced,,2017,385.948,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Male,Marital status (Aggregate): Married / Union / Cohabiting,,2017,30.578,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Male,Marital status (Aggregate): Not elsewhere classified,,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Female,Marital status (Aggregate): Total,,2017,814.369,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Female,Marital status (Aggregate): Single / Widowed / Divorced,,2017,473.752,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Female,Marital status (Aggregate): Married / Union / Cohabiting,,2017,340.15,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Female,Marital status (Aggregate): Not elsewhere classified,,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Total,Marital status (Detailed): Total,,2017,1231.334,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth not in employment, education or training (NEET) by sex and marital status (thousands)",Sex: Total,Marital status (Detailed): Single,,2017,796.499,,,,Repository: ILO-STATISTICS - Micro data processing
