ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2017,5.365,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2017,0.827,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2017,4.369,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2017,5.333,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-29,Education (Aggregate levels): Advanced,2017,6.441,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Total,2017,3.509,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Basic,2017,3.09,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Intermediate,2017,4.102,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 15-19,Education (Aggregate levels): Advanced,2017,2.747,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Total,2017,6.71,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Less than basic,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Basic,2017,5.721,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Intermediate,2017,6.771,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 20-24,Education (Aggregate levels): Advanced,2017,7.339,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Total,2017,5.948,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Less than basic,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Basic,2017,5.316,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Intermediate,2017,5.684,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Total,Age (Youth bands): 25-29,Education (Aggregate levels): Advanced,2017,6.636,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2017,5.616,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2017,4.891,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2017,5.723,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-29,Education (Aggregate levels): Advanced,2017,6.625,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-19,Education (Aggregate levels): Total,2017,4.172,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-19,Education (Aggregate levels): Basic,2017,3.735,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-19,Education (Aggregate levels): Intermediate,2017,4.818,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 15-19,Education (Aggregate levels): Advanced,2017,3.404,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 20-24,Education (Aggregate levels): Total,2017,7.145,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 20-24,Education (Aggregate levels): Less than basic,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 20-24,Education (Aggregate levels): Basic,2017,6.04,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 20-24,Education (Aggregate levels): Intermediate,2017,7.294,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 20-24,Education (Aggregate levels): Advanced,2017,8.033,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 25-29,Education (Aggregate levels): Total,2017,5.585,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 25-29,Education (Aggregate levels): Less than basic,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 25-29,Education (Aggregate levels): Basic,2017,5.704,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 25-29,Education (Aggregate levels): Intermediate,2017,5.299,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Male,Age (Youth bands): 25-29,Education (Aggregate levels): Advanced,2017,6.052,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2017,5.104,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment-to-population ratio by sex, age and education (%)",Sex: Female,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
