ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and categories of unemployed persons (thousands)",Sex: Total,Age (Youth bands): 15-29,Type of unemployment: Total,2017,428.603,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and categories of unemployed persons (thousands)",Sex: Total,Age (Youth bands): 15-29,Type of unemployment: Unemployed previously employed,2017,249.357,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and categories of unemployed persons (thousands)",Sex: Total,Age (Youth bands): 15-29,Type of unemployment: Unemployed seeking their first job,2017,179.246,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and categories of unemployed persons (thousands)",Sex: Total,Age (Youth bands): 15-19,Type of unemployment: Total,2017,96.054,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and categories of unemployed persons (thousands)",Sex: Total,Age (Youth bands): 15-19,Type of unemployment: Unemployed previously employed,2017,44.38,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and categories of unemployed persons (thousands)",Sex: Total,Age (Youth bands): 15-19,Type of unemployment: Unemployed seeking their first job,2017,51.674,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and categories of unemployed persons (thousands)",Sex: Total,Age (Youth bands): 20-24,Type of unemployment: Total,2017,177.947,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and categories of unemployed persons (thousands)",Sex: Total,Age (Youth bands): 20-24,Type of unemployment: Unemployed previously employed,2017,98.03,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and categories of unemployed persons (thousands)",Sex: Total,Age (Youth bands): 20-24,Type of unemployment: Unemployed seeking their first job,2017,79.917,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and categories of unemployed persons (thousands)",Sex: Total,Age (Youth bands): 25-29,Type of unemployment: Total,2017,154.602,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and categories of unemployed persons (thousands)",Sex: Total,Age (Youth bands): 25-29,Type of unemployment: Unemployed previously employed,2017,106.947,,,,Repository: ILO-STATISTICS - Micro data processing
