ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 15-29,Duration (Aggregate): Total,2017,428.603,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 15-29,Duration (Aggregate): Less than 6 months,2017,157.914,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 15-29,Duration (Aggregate): 6 months to less than 12 months,2017,53.802,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 15-29,Duration (Aggregate): 12 months or more,2017,37.641,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 15-29,Duration (Aggregate): Not elsewhere classified,2017,179.246,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 15-19,Duration (Aggregate): Total,2017,96.054,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 15-19,Duration (Aggregate): Less than 6 months,2017,36.184,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 15-19,Duration (Aggregate): 6 months to less than 12 months,2017,5.657,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 15-19,Duration (Aggregate): 12 months or more,2017,2.539,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 15-19,Duration (Aggregate): Not elsewhere classified,2017,51.674,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 20-24,Duration (Aggregate): Total,2017,177.947,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 20-24,Duration (Aggregate): Less than 6 months,2017,58.543,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 20-24,Duration (Aggregate): 6 months to less than 12 months,2017,23.106,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 20-24,Duration (Aggregate): 12 months or more,2017,16.381,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 20-24,Duration (Aggregate): Not elsewhere classified,2017,79.917,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 25-29,Duration (Aggregate): Total,2017,154.602,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 25-29,Duration (Aggregate): Less than 6 months,2017,63.187,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Youth unemployment by sex, age and duration (thousands)",Sex: Total,Age (Youth bands): 25-29,Duration (Aggregate): 6 months to less than 12 months,2017,25.039,,,,Repository: ILO-STATISTICS - Micro data processing
